date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:42:44	188508/188508	---M--	200	added ('OK')	application/octet-stream	etag:%225d713ae3-2e05c%22	https://www.gretchencseibel.com/assets/ionicons/fonts/ionicons.ttf?v=2.0.0	C:/My%20Web%20Sites/portfilo/www.gretchencseibel.com/assets/ionicons/fonts/ionicons28b5.ttf	(from https://www.gretchencseibel.com/assets/ionicons/css/ionicons.css)
14:42:45	277297/277297	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225d713ae0-43b31%22	https://www.gretchencseibel.com/assets/elegant-icons/fonts/ElegantIcons.svg	C:/My%20Web%20Sites/portfilo/www.gretchencseibel.com/assets/elegant-icons/fonts/ElegantIcons.svg	(from https://www.gretchencseibel.com/assets/elegant-icons/style.css)
14:42:45	19021/19021	---M--	200	added ('OK')	image/gif	etag:%225d713ad2-4a4d%22	https://www.gretchencseibel.com/images/loading.gif	C:/My%20Web%20Sites/portfilo/www.gretchencseibel.com/images/loading.gif	(from https://www.gretchencseibel.com/css/owl.theme.css)
14:42:45	83686/83686	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2028%20Feb%202021%2008:42:46%20GMT	https://www.gretchencseibel.com/css/grabbing.png	C:/My%20Web%20Sites/portfilo/www.gretchencseibel.com/css/grabbing.png	(from https://www.gretchencseibel.com/css/owl.carousel.css)
14:42:46	7303/7303	---M--	200	added ('OK')	image/gif	etag:%225d713add-1c87%22	https://www.gretchencseibel.com/css/nivo_themes/default/loading.gif	C:/My%20Web%20Sites/portfilo/www.gretchencseibel.com/css/nivo_themes/default/loading.gif	(from https://www.gretchencseibel.com/css/nivo_themes/default/default.css)
14:42:46	63664/63664	---M--	200	added ('OK')	font/woff	etag:%225d713ae1-f8b0%22	https://www.gretchencseibel.com/assets/elegant-icons/fonts/ElegantIcons.woff	C:/My%20Web%20Sites/portfilo/www.gretchencseibel.com/assets/elegant-icons/fonts/ElegantIcons.woff	(from https://www.gretchencseibel.com/assets/elegant-icons/style.css)
14:42:46	1377/1377	---M--	200	added ('OK')	image/png	etag:%225d713ade-561%22	https://www.gretchencseibel.com/css/nivo_themes/default/prev.png	C:/My%20Web%20Sites/portfilo/www.gretchencseibel.com/css/nivo_themes/default/prev.png	(from https://www.gretchencseibel.com/css/nivo_themes/default/default.css)
14:42:46	1329/1329	---M--	200	added ('OK')	image/png	etag:%225d713ade-531%22	https://www.gretchencseibel.com/css/nivo_themes/default/next.png	C:/My%20Web%20Sites/portfilo/www.gretchencseibel.com/css/nivo_themes/default/next.png	(from https://www.gretchencseibel.com/css/nivo_themes/default/default.css)
14:42:47	1222/1222	---M--	200	added ('OK')	image/png	etag:%225d713ade-4c6%22	https://www.gretchencseibel.com/css/nivo_themes/default/close.png	C:/My%20Web%20Sites/portfilo/www.gretchencseibel.com/css/nivo_themes/default/close.png	(from https://www.gretchencseibel.com/css/nivo_themes/default/default.css)
14:42:48	18134/18134	---M--	200	added ('OK')	image/gif	etag:%225d713ade-46d6%22	https://www.gretchencseibel.com/css/nivo_themes/default/loading@2x.gif	C:/My%20Web%20Sites/portfilo/www.gretchencseibel.com/css/nivo_themes/default/loading@2x.gif	(from https://www.gretchencseibel.com/css/nivo_themes/default/default.css)
14:42:49	1746/1746	---M--	200	added ('OK')	image/png	etag:%225d713add-6d2%22	https://www.gretchencseibel.com/css/nivo_themes/default/prev@2x.png	C:/My%20Web%20Sites/portfilo/www.gretchencseibel.com/css/nivo_themes/default/prev@2x.png	(from https://www.gretchencseibel.com/css/nivo_themes/default/default.css)
14:42:49	1839/1839	---M--	200	added ('OK')	image/png	etag:%225d713ade-72f%22	https://www.gretchencseibel.com/css/nivo_themes/default/next@2x.png	C:/My%20Web%20Sites/portfilo/www.gretchencseibel.com/css/nivo_themes/default/next@2x.png	(from https://www.gretchencseibel.com/css/nivo_themes/default/default.css)
14:42:50	1690/1690	---M--	200	added ('OK')	image/png	etag:%225d713ade-69a%22	https://www.gretchencseibel.com/css/nivo_themes/default/close@2x.png	C:/My%20Web%20Sites/portfilo/www.gretchencseibel.com/css/nivo_themes/default/close@2x.png	(from https://www.gretchencseibel.com/css/nivo_themes/default/default.css)
14:42:52	71607/71607	---M--	200	added ('OK')	image/jpeg	etag:%225d713acd-117b7%22	https://www.gretchencseibel.com/images/bg-image-1.jpg	C:/My%20Web%20Sites/portfilo/www.gretchencseibel.com/images/bg-image-1.jpg	(from https://www.gretchencseibel.com/css/styles.css)
14:43:00	308446/308446	---M--	200	added ('OK')	image/jpeg	etag:%225d713acf-4b4de%22	https://www.gretchencseibel.com/images/bg-image-2.jpg	C:/My%20Web%20Sites/portfilo/www.gretchencseibel.com/images/bg-image-2.jpg	(from https://www.gretchencseibel.com/css/styles.css)
14:43:53	3776744/3776744	---M--	200	added ('OK')	application/pdf	etag:%225d713ad1-39a0e8%22	https://www.gretchencseibel.com/pdfs/GSeibel_JoyfulJourneys4th_7.pdf	C:/My%20Web%20Sites/portfilo/www.gretchencseibel.com/pdfs/GSeibel_JoyfulJourneys4th_7.pdf	(from https://www.gretchencseibel.com/)
14:43:56	91406/91406	---M--	200	added ('OK')	application/pdf	etag:%225d713acb-1650e%22	https://www.gretchencseibel.com/pdfs/GSeibel_4th_Language-Arts_Close-Reading.pdf	C:/My%20Web%20Sites/portfilo/www.gretchencseibel.com/pdfs/GSeibel_4th_Language-Arts_Close-Reading.pdf	(from https://www.gretchencseibel.com/)
14:43:56	88415/88415	---M--	200	added ('OK')	application/pdf	etag:%225d713acb-1595f%22	https://www.gretchencseibel.com/pdfs/GSeibel_3rd_Math_Equal-Shares.pdf	C:/My%20Web%20Sites/portfilo/www.gretchencseibel.com/pdfs/GSeibel_3rd_Math_Equal-Shares.pdf	(from https://www.gretchencseibel.com/)
